Tag	fr	en	Comment
NewOrder	Nouvelle Facture	Start new invoice	
NewProduct	Nouveau Produit	New Product	
Restock	Réception de marchandises	Restock Inventory	
SalesSummary	Sommaire de ventes	Sales Summary	
TransferStore	Transfert de Magasin	Transfer to another store	
ProductToOrder	Produits à Commander	Products to order	
Promotions	Promotions et rabais	Promotions and rebate	
TransactionHistory	Historique Transactions	Transactions History	
SupplierOrder	Commande fournisseur	Supplier Order
	
#Tool menu			
OptionsAndConfiguration	Options && configuration	Options && configurations	
EmergencyContact	Contact d'urgence	Emergency contact	
			
			
			
Search	Recherche	Search	
Popular	Populaires	Popular	
Print	Imprimer	Print	
Cancel	Annuler	Cancel	
PurchaseOrder	Bon de commande	Purchase Order	
Billing	Facturer	Billing	
Complete	Terminer	Complete	
Rebate	Rabais	Discount	
Deleted	effacé	deleted	
		
#Sales summary			
			
#ucSales 			
FilterByDate	Filtre par date	Filter by date	
Customer	Client	Customer	
From	Depuis le	From	
To	Au	To	
FilterByCustomerGroup	Filter par groupe de clients	Filter by customer group	
UpdateSalesSummary	Actualiser Sommaire	Update Summary	
SalesBeforeDiscount	Vente avant rabais	Sales before discount	
NetSales	Vente Net	Net Sales	
PettyCast	Petite Caisse	Petty Cash	
PrintSales	Imprimer les ventes	Print Sales	
ExportExcel	Exporter sur Excel	Export to Excel	
PreparationFee	Frais de préparation	Preparation fee

#Print			
Invoice	Facture	Invoice	
PurchaseOrderAbb	Réser	PO	
ShippingAddress	Adresse de livraison	Shipping Address	
InvoiceGift	Facture Cadeau	Invoice Gift	
			
TotalItems	Nombre total d'articles	Total number of items	
TotalRebate	Rabais total	Total rebate	
			
#Search window			
Title	Titre	Title	
Brand	Marque	Brand	
Category	Catégorie	Category	
Supplier	Fournisseur	Supplier	
			
BreadcrumbHome	Accueil	Home	
StarProduct	Coups de coeur	Favorite	
AvailableInStore	Disponible en magasin	Available in store	
WarningProductShippedWhenAllAvailable	La commande sera postée que lorsque TOUS les articles seront disponibles seulement.	The order will be shipped when all items will be available only.	
			
#View transaction			
ShippingCart	Panier d'achat	Shopping cart	
AssignTo	Assigné à	Assign to	
ServedBy	Servi par	Served by	
PreparedBy	Préparé par	Prepared by	
BilledBy	Facturé par	Billed by	
SecurityDespositMade	Dépôt déjà fait	Deposit made	
SecurityDeposit	Dépôt de sécurité	Security deposit
ModificationSinceSignature	Modification(s) depuis la signature	Modification(s) since signature

SupplierOrderTitle	Numéro de Commande	Purchase Order Number
SalesTitle	Facture	Invoice
AdjustementTitle	Ajustement d'inventaire	Inventory adjustment
ReStockTitle	Réception de marchandises	Restock inventory
TransferTitle	Transfert entre magasins	Transfers between stores
PettyCashTitle	Transaction petite caisse	Petty cash transaction
InventoryTitle	Décompte d'inventaire	Inventory recount
RmaTitle	Retour de marchandises au fabricant	RMA / Return	
CreativityTitle	Créations	Creation
InternetOrderTitle	Accusé Réception	Order Acknowledgement

#points			
CartStamps	Points	Points	
CartNoPoints	Ne donne pas de points	Doesn't give points	
PointsGranted	Points accumulées	Points accumulated	
PointsSpended	Points utilisées	Points spend	
PointsBalance	Solde des points	Points balance	
CartItem	Article	Item	
Cost	Coût	Cost	
CostMaterial	Coût d'achat	Purchase cost
CostMaterialTT	Coût du produit lorsqu'il est acheter d'un fournisseur	Cost of the product when buying from a supplier
CostShipping	Coût du transport	Shipping cost
CostShippingTT	Les frais de transport moyen que votre entreprise paie pour acheter le produit	Average shipping cost that your company pay to buy the product
CostCustoms	Coût de douane	Customs cost
CostCustomsTT	Frais de douane si le produit est acheter d'un autre pays	Customs cost if the product is purchased from another country
CostBuild	Coût fabrication	Manufacturing cost
CostBuildTT	Si vous fabriquer le produit, frais de vos matière première	If you build the produit, price of your raw material
CostLabor	Coût main d'oeuvre	Labor cost
CostLaborTT	Si vous fabriquer le produit, frais de votre main d'oeuvre	If you build the product, price of your labor
CostTotal	Coût total	Total cost	
CostTotalTT	Coût d'achat + transport + douane + fabrication + main d'oeuvre	Purchase cost + shipping + customs + manufacture + labor
ChargedManually	Aucun montant n'est facturé automatiquement sur la carte de crédit, la facture finale sera émise lorsque la commande sera complète.	No amount will be billed automatically on the credit card, the final invoice wil lbe send when the order is complete.	
			
#payment system			
PaymentVisa	Visa	Visa	
PaymentMasterCard	MasterCard	MasterCard	
PaymentInterac	Débit	Debit
PaymentInteracTransfer	Virement Interac	Interac e-Transfer
PaymentCash	Comptant	Cash	
PaymentChange	Change	Change	
PaymentAmex	American Express	American Express	
PaymentGeneric1	À configuré	To be configure	
PaymentPayPal	PayPal	PayPal	
PaymentCheck	Chèque	Check	
PaymentGiftCard	Carte Cadeau	Gift Card	
PaymentFidelityPoints	Points fidélité	Fidelity points	
PaymentOther	Autre	Other	
PaymentPenny	Arrondissement	Rounding	
PaymentCredit	Compte Client	Credit	
PaymentCreditNote	Notes de crédit	Credit notes	
PaymentNone	Non défini	Not defined	
PaymentNet30Days	Net 30 jours	Net 30 days	
PaymentSquare	Square	Square	
PaymentFirstData	En ligne	Online
PaymentTip	Pourboire	Tip
PaymentMonerisOnline	Moneris en ligne	Moneris online
ExpirationDate	Date d'expiration invalide	Invalid expiration date
PaymentInteracTransferMsg_2	Il est de votre responsabilité de faire le virement à <b>{0}</b> au montant de <b>{1}</b>. <br /> Lors du virement, utiliser votre numéro de commande <code>{2}</code> comme réponse à la question.	It's your responsability to do a wire transfer of <b>{1}</b> to <b>{0}</b>. In the transfert, use the order number <code>{2}</code> as answers to the question.

#Store configuration
StorePrimary	Magasin par défaut	Primary Store
InventoryForShipping	Effectue de la livraison par la poste	Do online shipping
InventoryForPickup	Le client peut collecter en magasin	Customer can pick-up at store
Select	Sélectionner	Select
OptionNotAvailable	Option not disponible	Option not available
YouMustSelectAStore	Vous devez sélectionner un magasin	You must select a store
